ident	name	type	frequency_khz	latitude_deg	longitude_deg
AD	Aldan	NDB	451	58.61830139	125.4300003
AD	Ashgabat	NDB	407	38.00500107	58.30670166
AD	Brons	NDB	407	33.04430008	-96.87049866
AD	Andizhan	NDB	422	40.73329926	72.30000305
AD	Arandis	NDB	328	-22.4666996	14.95829964
AD	Aden	NDB	361	12.87030029	45.00559998
ADA	Aldeia	VOR-DME	112100	-22.81279945	-42.09529877
ADA	Adana	VOR-DME	112700	36.94060135	35.21030045
ADA	Aldeia	NDB	345	-22.82299995	-42.0965004
ADA	Adana	NDB	395	36.97079849	35.26169968
ADA	Aguada Grande	NDB	323	10.61670017	-69.28330231
ADF	Arkadelphia	NDB	275	34.05540085	-93.10489655
ADG	Adrian	NDB	278	41.86999893	-84.07749939
ADH	Ada	VOR-DME	117800	34.80260086	-96.67009735
ADK	Mount Moffett	NDB-DME	530	51.87189865	-176.6759949
ADL	Sochi	VOR-DME	112700	43.40330124	39.94829941
ADM	Ardmore	VORTAC	116700	34.21160126	-97.16829681
ADM	Agadir	VOR-DME	117200	30.32189941	-9.383330345
ADN	Roberto	VOR-DME	115400	25.86540031	-100.2389984
ADN	Aberdeen	VOR-DME	114300	57.31060028	-2.26722002
ADO	Puerto Deseado	NDB	210	-47.73329926	-65.90940094
ADR	Adrar	VOR-DME	112600	27.81699944	-0.2058670074
ADR	Adrar	NDB	340	27.7852993	-0.2302780002
ADS	Addis Abeba	VOR-DME	112900	8.975040436	38.79940033
ADT	Atwood	NDB	365	39.83860016	-101.0449982
ADU	Audubon	NDB	266	41.69029999	-94.91000366
ADW	Andrews	VORTAC	113100	38.80720139	-76.86620331
ADX	Andraitx	NDB	384	39.54940033	2.395859957
AE	Abeche	VOR	114500	13.8451004	20.84499931
AE	Dudle	NDB	351	35.21730042	-106.7129974
AEA	Jones	NDB	373	36.61449814	-78.05319977
AEE	Antlers	NDB	391	34.19179916	-95.65190125
AEL	Albert Lea	VOR-DME	109800	43.68180084	-93.3707962
AES	Nabesna	NDB	390	62.96580124	-141.8880005
AEX	Alexandria	VORTAC	116100	31.25670052	-92.50099945
AEY	Waverly	NDB	329	36.11619949	-87.74130249
AF	Archerfield	NDB	419	-27.57029915	153.0160065
AFD	Watford City	NDB	400	47.81510162	-103.2580032
AFE	Kake	NDB-DME	223	56.96390152	-133.9120026
AFI	Affligem	VOR-DME	114900	50.90779877	4.13888979
AFK	Nebraska City	NDB	347	40.60559845	-95.8608017
AFM	Manas	TACAN	134000	43.06219864	74.47070313
AFO	Afienou	NDB	393	5.411139965	-2.916470051
AFP	Anson Co	NDB	283	35.02399826	-80.08300018
AFS	Afonsos	NDB	270	-22.86700058	-43.3669014
AG	Aek Godang	NDB	233	1.398339987	99.42900085
AG	Agra	NDB	250	27.15019989	77.96530151
AG	Abuja	NDB	321	9.028039932	7.277040005
AG	Agoy	NDB	381	44.13330078	39.03329849
AG	Sembawang	NDB	325	1.423329949	103.822998
AG	Bushe	NDB	233	33.28689957	-81.94689941
AGB	Augsburg	NDB	318	48.42430115	10.93309975
AGC	Allegheny	VOR-DME	110000	40.27870178	-80.04090118
AGD	Altenburg	DME	115300	50.98270035	12.51229954
AGG	Agra	VOR-DME	112000	27.15069962	77.94750214
AGG	Agalega	NDB	429	-10.36670017	56.59999847
AGH	Anchialos	VOR-DME	110400	39.21620178	22.79190063
AGI	Araguaina	NDB	205	-7.233500004	-48.23899841
AGJ	Gooch Springs	VORTAC	112500	31.185	-98.141
AGN	Agen	VOR-DME	114800	43.88800049	0.8728610277
AGN	Alagoinhas	NDB	310	-12.15270042	-38.38949966
AGU	Aguascalientes	VOR-DME	113600	21.71139908	-102.3190002
AGU	Monteagudo	NDB	305	-19.83550072	-63.96530151
AGV	Aggeneys	VOR-DME	116700	-29.48110008	18.5625
AGV	Acarigua	VOR-DME	113400	9.554750443	-69.23619843
AGV	Acarigua	NDB	225	9.551690102	-69.23290253
AGZ	Ayaguz	VOR	113600	47.93109894	80.4496994
AGZ	Wagner	NDB	392	43.0625	-98.29229736
AH	Ahmedabad	NDB	215	23.14139938	72.6996994
AH	Antalaha	NDB	321	-14.99890041	50.31790161
AHC	Amedee	VOR-DME	109000	40.26789856	-120.1520004
AHH	Ameron	NDB	278	45.28139877	-92.37129974
AHN	Athens	VORTAC	109600	33.94760132	-83.32479858
AHO	Alghero	TACAN	109300	40.63610077	8.289440155
AHQ	Wahoo	NDB	400	41.23920059	-96.5983963
AHT	Ashiya	TACAN	108600	33.88830185	130.6499939
AHT	Amchitka	NDB-DME	379	51.37969971	-179.2579956
AHX	Athens	NDB	269	32.15930176	-95.8302002
AI	Sao Joao	NDB	320	-1.281329989	-44.90330124
AI	Aitutaki	NDB	320	-18.82480049	-159.772995
AI	Akchi	NDB	288	43.97219849	76.33580017
AI	Tura	NDB	430	64.28500366	100.2030029
AI	Video	NDB	371	40.06949997	-85.51069641
AI	Addmo	NDB	400	34.23239899	-96.93309784
AIA	Alliance	VOR-DME	111800	42.05559921	-102.8040009
AIG	Antigo	NDB	347	45.15859985	-89.11380005
AIK	Aiken	NDB	347	33.65179825	-81.67710114
AIN	Al Ain	NDB	399	24.24860001	55.60430145
AIO	Atlantic	NDB	365	41.40399933	-95.0463028
AIR	Bellaire	VOR-DME	117100	40.01699829	-80.81729889
AIT	Aitkin	NDB	397	46.54750061	-93.67520142
AIV	Aliceville	NDB	254	33.11399841	-88.18560028
AIX	Nanwak	NDB-DME	323	60.38499832	-166.2149963
AIZ	Kaiser	NDB	377	38.09659958	-92.55310059
AJ	Ouani	NDB	369	-12.13199997	44.42860031
AJ	Aghajari	NDB	365	30.75	49.68330002
AJ	Krasnoyarsk	NDB	334	56.19329834	92.40670013
AJ	Staritsa	NDB	430	56.51670074	34.93330002
AJA	Mt Macajna	NDB	385	13.45489979	144.7369995
AJE	Awaji	VOR-DME	115600	34.27030182	134.7129974
AJF	Al Jouf	VORTAC	117800	29.78899956	40.07419968
AJG	Mt Carmel	NDB	524	38.61199951	-87.72609711
AJO	Ajaccio	VOR-DME	114800	41.77050018	8.774669647
AJR	Habersham	NDB	347	34.50149918	-83.54989624
AJW	Andri	NDB	281	45.79169846	-95.30549622
AJX	Ash Flat	NDB	344	36.18059921	-91.6065979
AK	Astra Kesetra	NDB	221	-4.612420082	105.2310028
AK	Akeno	NDB	380	34.52780151	136.6970062
AK	Astana	NDB	318	51.06000137	71.52610016
AK	Akure	NDB	276	7.226719856	5.293220043
AK	Abakan	NDB	360	53.76670074	91.40499878
AK	Aleksandrovka	NDB	113	49.58330154	44.31669998
AK	Saldo	NDB	355	58.73720169	-156.7779999
AK	Akron	NDB	362	41.06980133	-81.38749695
AKB	Aktyubinsk	VOR-DME	113400	50.26309967	57.18389893
AKC	Trabzon	NDB	392	41.08940125	39.46920013
AKE	Amakusa	VOR-DME	113450	32.48099899	130.1600037
AKI	Akhisar	TACAN	110200	38.81949997	27.82719994
AKI	Akureyri	VOR-DME	113600	65.75969696	-18.00419998
AKI	Anduki	NDB	250	4.630280018	114.3720016
AKJ	Al Kharj	VORTAC	117300	24.06819916	47.4076004
AKL	Haskell	NDB	407	33.19110107	-99.72000122
AKN	King Salmon	VORTAC	112800	58.72470093	-156.7519989
AKO	Akron	VOR-DME	114400	40.1556015	-103.1800003
AKP	Anaktuvuk Pass	NDB	348	68.13659668	-151.7440033
AKQ	Wakefield	NDB	274	36.98320007	-77.00109863
AKR	Akrotiri	TACAN	116000	34.57939911	32.96279907
AKT	Akeno	TACAN	112050	34.5284996	136.6750031
AKT	Preveza/Aktion	VOR-DME	110000	38.92490005	20.7614994
AKT	Aktau	VOR-DME	113300	43.85860062	51.10189819
AKU	Akujarvi	NDB	432	68.67839813	27.61459923
AKW	Klawock	NDB-DME	229	55.5685997	-133.0789948
AL	Malolo	NDB	385	-17.82559967	177.3869934
AL	Halim Perdanakusuma	NDB	215	-6.19396019	107.0400009
AL	Embakasi	NDB	379	-1.376080036	36.91910172
AL	Almaty	NDB	443	43.38259888	77.10209656
AL	Lepsoy	NDB	398	62.59609985	6.221519947
AL	Alabat	NDB	247	14.22029972	121.9240036
AL	Baykit	NDB	326	61.70669937	96.5
AL	Alushta	NDB	384	44.67470169	34.39680099
AL	Price	NDB	382	42.62220001	-92.50939941
AL	Trina	NDB	353	46.17549896	-118.1959991
AL	Hawky	NDB	219	42.81729889	-73.81060028
AL	Alpos	NDB	218	38.85509872	-89.9382019
ALA	Alta	NDB	358	69.99230194	23.29319954
ALB	Albany	VORTAC	115300	42.74720001	-73.80319977
ALB	Allersberg	VOR-DME	111200	49.21440125	11.22140026
ALB	Albenga	VOR-DME	116950	44.0481987	8.127619743
ALC	Amami	VORTAC	115500	28.44370079	129.5839996
ALC	Alcantara	NDB	230	-2.381500006	-44.39929962
ALD	Allendale	VOR	116700	33.01250076	-81.29219818
ALD	Al Udeid	VORTAC	115200	25.13949966	51.30509949
ALD	Alderney	NDB	383	49.70890045	-2.199700117
ALE	Aleppo	VOR-DME	114500	36.17919922	37.20959854
ALE	Aleppo	NDB	396	36.1780014	37.20660019
ALF	Alster	DME	115800	53.63529968	9.994139671
ALG	Alghero	VORTAC	113800	40.62810135	8.243889809
ALG	Alghero	NDB	382	40.63999939	8.291669846
ALG	Ciudad Del Este	NDB	293	-25.36969948	-54.76139832
ALI	Alice	VOR	114500	27.7397995	-98.02130127
ALI	Aligarh	VOR-DME	117900	27.82929993	78.17829895
ALI	Cairo	NDB	310	30.16690063	31.38500023
ALJ	Orca Bay	NDB	233	60.47980118	-146.5870056
ALM	Alma	VOR	116400	55.41130066	13.55749989
ALM	Almaty	VOR-DME	112300	43.37440109	77.08580017
ALM	Al Hoceima	VOR-DME	115000	35.19110107	-3.841730118
ALM	Aix Les Milles	NDB	430	43.50780106	5.360469818
ALN	Al Ain	VOR-DME	112600	24.25979996	55.60639954
ALO	Waterloo	VORTAC	112200	42.55649948	-92.39890289
